TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Other Theft,2015,8,6,20,0,11XX ALBERNI ST,West End,490992.3928,5459189.5043
Other Theft,2015,9,3,9,19,11XX ALBERNI ST,West End,490992.3928,5459189.5043
Other Theft,2015,4,13,16,0,11XX BIDWELL ST,West End,489955.319,5459433.0949
Other Theft,2015,7,1,14,34,11XX BURNABY ST,West End,490296.6584,5458630.0672
Other Theft,2015,3,18,15,45,11XX BURNABY ST,West End,490349.8498,5458577.9878
Other Theft,2015,6,14,11,55,11XX BURNABY ST,West End,490349.8498,5458577.9878
Other Theft,2015,3,14,0,0,11XX BURRARD ST,Central Business District,490652.6966,5458531.0645
Other Theft,2015,8,11,11,0,11XX BURRARD ST,Central Business District,490652.6966,5458531.0645
Other Theft,2015,11,10,9,0,11XX BURRARD ST,Central Business District,490652.6966,5458531.0645
Other Theft,2015,9,13,12,30,11XX BURRARD ST,Central Business District,490669.3771,5458547.9857
Other Theft,2015,3,17,20,10,11XX BURRARD ST,Central Business District,490675.6323,5458554.3312
Other Theft,2015,4,23,10,45,11XX BURRARD ST,Central Business District,490675.6323,5458554.3312
Other Theft,2015,9,13,7,25,11XX BURRARD ST,Central Business District,490675.6323,5458554.3312
Other Theft,2015,9,19,10,0,11XX BURRARD ST,Central Business District,490675.6323,5458554.3312
Other Theft,2015,10,16,23,0,11XX BURRARD ST,Central Business District,490675.6323,5458554.3312
Other Theft,2015,4,13,9,0,11XX BURRARD ST,Central Business District,490677.7173,5458556.4463
Other Theft,2015,5,15,17,58,11XX BURRARD ST,Central Business District,490679.8024,5458558.5615
Other Theft,2015,5,25,18,50,11XX BURRARD ST,Central Business District,490679.8024,5458558.5615
Other Theft,2015,9,25,22,0,11XX BURRARD ST,Central Business District,490679.8024,5458558.5615
Other Theft,2015,10,9,23,1,11XX BURRARD ST,Central Business District,490679.8024,5458558.5615
Other Theft,2015,10,18,15,0,11XX BURRARD ST,Central Business District,490679.8024,5458558.5615
Other Theft,2015,1,6,0,10,11XX BURRARD ST,Central Business District,490715.2484,5458594.519
Other Theft,2015,1,10,20,40,11XX BURRARD ST,Central Business District,490715.2484,5458594.519
Other Theft,2015,2,22,0,27,11XX BURRARD ST,Central Business District,490715.2484,5458594.519
Other Theft,2015,3,3,20,14,11XX BURRARD ST,Central Business District,490715.2484,5458594.519
Other Theft,2015,3,4,16,50,11XX BURRARD ST,Central Business District,490715.2484,5458594.519
Other Theft,2015,3,15,6,35,11XX BURRARD ST,Central Business District,490715.2484,5458594.519
Other Theft,2015,4,22,1,18,11XX BURRARD ST,Central Business District,490715.2484,5458594.519
Other Theft,2015,4,29,16,12,11XX BURRARD ST,Central Business District,490715.2484,5458594.519
Other Theft,2015,7,15,20,8,11XX BURRARD ST,Central Business District,490715.2484,5458594.519
Other Theft,2015,8,5,15,10,11XX BURRARD ST,Central Business District,490715.2484,5458594.519
Other Theft,2015,1,3,9,47,11XX BUTE ST,West End,490346.8568,5458842.2591
Other Theft,2015,3,27,16,56,11XX BUTE ST,West End,490346.8568,5458842.2591
Other Theft,2015,4,8,16,45,11XX BUTE ST,West End,490346.8568,5458842.2591
Other Theft,2015,4,9,17,27,11XX BUTE ST,West End,490346.8568,5458842.2591
Other Theft,2015,4,15,11,30,11XX BUTE ST,West End,490346.8568,5458842.2591
Other Theft,2015,4,18,11,50,11XX BUTE ST,West End,490346.8568,5458842.2591
Other Theft,2015,4,21,22,42,11XX BUTE ST,West End,490346.8568,5458842.2591
Other Theft,2015,4,25,9,39,11XX BUTE ST,West End,490346.8568,5458842.2591
Other Theft,2015,4,30,18,10,11XX BUTE ST,West End,490346.8568,5458842.2591
Other Theft,2015,5,12,18,10,11XX BUTE ST,West End,490346.8568,5458842.2591
Other Theft,2015,5,14,17,43,11XX BUTE ST,West End,490346.8568,5458842.2591
Other Theft,2015,5,22,21,22,11XX BUTE ST,West End,490346.8568,5458842.2591
Other Theft,2015,6,3,21,45,11XX BUTE ST,West End,490346.8568,5458842.2591
Other Theft,2015,6,6,22,39,11XX BUTE ST,West End,490346.8568,5458842.2591
Other Theft,2015,6,12,20,22,11XX BUTE ST,West End,490346.8568,5458842.2591
Other Theft,2015,6,14,15,12,11XX BUTE ST,West End,490346.8568,5458842.2591
Other Theft,2015,6,16,21,27,11XX BUTE ST,West End,490346.8568,5458842.2591
Other Theft,2015,7,10,13,30,11XX BUTE ST,West End,490346.8568,5458842.2591
Other Theft,2015,7,16,19,51,11XX BUTE ST,West End,490346.8568,5458842.2591
Other Theft,2015,7,22,11,0,11XX BUTE ST,West End,490346.8568,5458842.2591
Other Theft,2015,7,25,14,50,11XX BUTE ST,West End,490346.8568,5458842.2591
Other Theft,2015,7,27,10,13,11XX BUTE ST,West End,490346.8568,5458842.2591
Other Theft,2015,8,19,17,53,11XX BUTE ST,West End,490346.8568,5458842.2591
Other Theft,2015,8,28,9,48,11XX BUTE ST,West End,490346.8568,5458842.2591
