TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Vehicle Collision or Pedestrian Struck (with Injury),2017,2,8,23,52,SEYMOUR ST / NELSON ST,Central Business District,491125.0,5458434.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,9,15,18,10,SEYMOUR ST / ROBSON ST,Central Business District,491359.0,5458669.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,12,27,4,27,SEYMOUR ST / SMITHE ST,Central Business District,491242.0,5458550.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,11,22,17,28,SHAUGHNESSY ST / W 70TH AVE,Marpole,490614.0,5450636.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,3,8,8,21,SHERBROOKE ST / E 49TH AVE,Sunset,494070.0,5452510.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,9,26,0,32,SIDNEY ST / KINGSWAY AVE,Kensington-Cedar Cottage,495358.0,5454638.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,2,2,21,47,SKEENA ST / ADANAC ST,Hastings-Sunrise,497937.0,5458297.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,10,17,7,31,SKEENA ST / E GEORGIA ST,Hastings-Sunrise,497938.0,5458389.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,4,12,17,0,SKEENA ST / E HASTINGS ST,Hastings-Sunrise,497939.0,5458709.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,12,18,20,12,SKEENA ST / E HASTINGS ST,Hastings-Sunrise,497939.0,5458709.0
